ID,Segment ID,Roadway Name,From,To,Direction,Date,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM
17,96671,188 Street,Rio Drive,Henley Road,NB,09/21/2019,227,167,130,112,128,213,320,415,536,586,556,613,603,704,659,668,617,546,606,600,470,466,399,363
17,96671,188 Street,Rio Drive,Henley Road,SB,09/21/2019,286,194,176,109,74,125,140,273,372,359,431,423,491,490,477,551,629,480,502,487,414,445,369,422
23,117242,200 Street,36 Avenue,Francis Lewis Boulevard,NB,09/21/2019,20,23,7,5,13,7,8,20,33,80,87,70,72,84,72,72,104,100,100,77,52,48,41,34
27,98876,26 Avenue,201 Street,202 Street,EB,09/21/2019,36,22,10,7,11,23,58,127,239,278,336,395,421,432,380,404,397,325,294,248,152,152,110,72
27,98876,26 Avenue,201 Street,202 Street,WB,09/21/2019,49,25,9,9,11,18,65,125,226,272,324,359,468,379,415,393,414,363,316,285,186,144,94,90
40,97492,35 Avenue,Francis Lewis Boulevard,200 Street,EB,09/21/2019,67,40,25,21,19,36,61,169,199,342,396,416,402,416,372,374,365,361,330,319,231,158,143,94
40,97492,35 Avenue,Francis Lewis Boulevard,200 Street,WB,09/21/2019,94,53,35,26,30,47,95,196,314,445,483,502,505,498,512,490,451,424,422,432,260,169,182,121
41,97525,35 Avenue,203 Street,204 Street,EB,09/21/2019,89,47,35,31,29,48,87,236,216,376,485,494,513,540,452,458,451,451,405,382,312,215,186,106
41,97525,35 Avenue,203 Street,204 Street,WB,09/21/2019,84,48,29,19,34,33,104,221,168,401,432,450,434,433,475,451,435,389,410,401,268,140,166,128
42,21331,37 Street,12 Avenue,13 Avenue,EB,09/21/2019,40,34,29,22,18,27,39,49,75,89,66,123,130,104,106,134,137,119,136,191,154,136,130,70
43,21327,39 Street,12 Avenue,13 Avenue,EB,09/21/2019,35,24,21,17,10,26,27,45,46,61,88,61,80,91,100,110,107,109,122,139,134,106,84,74
43,21327,39 Street,12 Avenue,13 Avenue,WB,09/21/2019,38,23,22,18,26,33,39,54,52,63,82,72,80,72,87,88,87,77,144,116,102,84,93,62
47,97302,45 Avenue,192 Street,193 Street,WB,09/21/2019,8,12,4,3,5,10,9,25,55,61,79,92,95,77,88,90,86,95,113,64,48,42,33,29
47,97302,45 Avenue,192 Street,193 Street,EB,09/21/2019,27,11,9,9,11,14,21,58,106,129,114,135,141,123,147,134,178,117,117,110,76,54,47,45
49,21164,49 Street,12 Avenue,13 Avenue,WB,09/21/2019,84,54,45,18,36,28,35,86,76,175,237,210,242,237,225,249,232,224,165,162,154,146,135,108
55,28923,5 Avenue,Douglass Street,De Graw Street,NB,09/21/2019,145,127,92,63,43,51,83,122,206,239,259,282,272,305,311,292,299,290,267,268,231,201,207,151
56,21148,50 Street,New Utecht Avenue,13 Avenue,EB,09/21/2019,133,47,26,25,32,32,44,93,130,170,206,204,186,190,230,192,211,230,199,192,177,142,130,139
63,19805,60 Street,11 Avenue,12 Avenue,EB,09/21/2019,125,108,57,66,60,55,62,128,203,198,200,257,248,309,260,266,281,270,282,226,165,129,55,64
63,19805,60 Street,11 Avenue,12 Avenue,WB,09/21/2019,80,34,46,24,47,39,66,137,193,233,221,253,284,239,244,223,217,224,238,184,166,223,178,153
65,81815,63 Drive,Wetherole St.,Booth Street,NB,09/21/2019,93,65,50,37,43,49,120,181,272,376,339,370,386,422,417,413,409,398,404,345,322,262,217,207
