Weekly New York Harbor Midgrade Reformulated Retail Gasoline Prices
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=EMM_EPMMR_PTE_Y35NY_DPG&f=W
01:11:34 GMT+1000 (澳大利亚东部标准时间)
Source: U.S. Energy Information Administration
Week of,Weekly New York Harbor Midgrade Reformulated Retail Gasoline Prices Dollars per Gallon
08/9/2021,3.457
08/2/2021,3.486
07/26/2021,3.453
07/19/2021,3.454
07/12/2021,3.439
07/5/2021,3.42
06/28/2021,3.403
06/21/2021,3.371
06/14/2021,3.368
06/7/2021,3.338
05/31/2021,3.327
05/24/2021,3.333
05/17/2021,3.348
05/10/2021,3.292
05/3/2021,3.193
04/26/2021,3.168
04/19/2021,3.118
04/12/2021,3.089
04/5/2021,3.121
03/29/2021,3.131
03/22/2021,3.142
03/15/2021,3.135
03/8/2021,3.082
03/1/2021,3.066
02/22/2021,2.978
02/15/2021,2.883
02/8/2021,2.832
02/1/2021,2.783
01/25/2021,2.771
01/18/2021,2.73
01/11/2021,2.645
01/4/2021,2.575
12/28/2020,2.551
12/21/2020,2.56
12/14/2020,2.503
12/7/2020,2.474
11/30/2020,2.477
11/23/2020,2.44
11/16/2020,2.441
11/9/2020,2.409
11/2/2020,2.423
10/26/2020,2.455
10/19/2020,2.478
10/12/2020,2.466
10/5/2020,2.468
09/28/2020,2.445
09/21/2020,2.455
09/14/2020,2.477
09/7/2020,2.531
08/31/2020,2.535
08/24/2020,2.471
08/17/2020,2.467
08/10/2020,2.469
08/3/2020,2.478
07/27/2020,2.49
07/20/2020,2.506
07/13/2020,2.513
07/6/2020,2.511
06/29/2020,2.515
06/22/2020,2.484
06/15/2020,2.454
06/8/2020,2.433
06/1/2020,2.415
05/25/2020,2.412
05/18/2020,2.404
05/11/2020,2.4
05/4/2020,2.353
04/27/2020,2.377
04/20/2020,2.419
04/13/2020,2.457
04/6/2020,2.493
03/30/2020,2.531
03/23/2020,2.603
03/16/2020,2.654
03/9/2020,2.76
03/2/2020,2.798
02/24/2020,2.822
02/17/2020,2.8
02/10/2020,2.797
02/3/2020,2.833
01/27/2020,2.865
01/20/2020,2.918
01/13/2020,2.933
01/6/2020,2.926
12/30/2019,2.895
12/23/2019,2.878
12/16/2019,2.852
12/9/2019,2.852
12/2/2019,2.866
11/25/2019,2.869
11/18/2019,2.873
11/11/2019,2.896
11/4/2019,2.892
10/28/2019,2.867
10/21/2019,2.862
10/14/2019,2.866
10/7/2019,2.896
09/30/2019,2.905
09/23/2019,2.912
09/16/2019,2.875
09/9/2019,2.899
09/2/2019,2.918
08/26/2019,2.971
08/19/2019,2.993
08/12/2019,3.014
08/5/2019,3.015
07/29/2019,3.03
07/22/2019,3.056
07/15/2019,3.055
07/8/2019,3.039
07/1/2019,3.043
06/24/2019,2.994
06/17/2019,3.02
06/10/2019,3.054
06/3/2019,3.101
05/27/2019,3.148
05/20/2019,3.169
05/13/2019,3.191
05/6/2019,3.201
04/29/2019,3.204
04/22/2019,3.116
04/15/2019,3.044
04/8/2019,2.977
04/1/2019,2.935
03/25/2019,2.909
03/18/2019,2.852
03/11/2019,2.773
03/4/2019,2.727
02/25/2019,2.72
02/18/2019,2.64
02/11/2019,2.667
02/4/2019,2.687
01/28/2019,2.685
01/21/2019,2.714
01/14/2019,2.721
01/7/2019,2.733
12/31/2018,2.753
12/24/2018,2.801
12/17/2018,2.83
12/10/2018,2.853
12/3/2018,2.903
11/26/2018,2.947
11/19/2018,2.968
11/12/2018,3.024
11/5/2018,3.088
10/29/2018,3.114
10/22/2018,3.156
10/15/2018,3.151
10/8/2018,3.173
10/1/2018,3.141
09/24/2018,3.14
09/17/2018,3.165
09/10/2018,3.149
09/3/2018,3.134
08/27/2018,3.135
08/20/2018,3.147
08/13/2018,3.156
08/6/2018,3.159
07/30/2018,3.17
07/23/2018,3.146
07/16/2018,3.172
07/9/2018,3.163
07/2/2018,3.168
06/25/2018,3.165
06/18/2018,3.216
06/11/2018,3.244
06/4/2018,3.258
05/28/2018,3.289
05/21/2018,3.252
05/14/2018,3.201
05/7/2018,3.172
04/30/2018,3.152
04/23/2018,3.107
04/16/2018,3.018
04/9/2018,2.97
04/2/2018,2.966
03/26/2018,2.926
03/19/2018,2.859
03/12/2018,2.86
03/5/2018,2.884
02/26/2018,2.904
02/19/2018,2.93
02/12/2018,2.973
02/5/2018,2.985
01/29/2018,2.956
01/22/2018,2.92
01/15/2018,2.871
01/8/2018,2.87
01/1/2018,2.852
12/25/2017,2.79
12/18/2017,2.814
12/11/2017,2.835
12/4/2017,2.846
11/27/2017,2.854
11/20/2017,2.872
11/13/2017,2.879
11/6/2017,2.821
10/30/2017,2.792
10/23/2017,2.795
10/16/2017,2.815
10/9/2017,2.846
10/2/2017,2.911
09/25/2017,2.96
09/18/2017,3.023
09/11/2017,3.051
09/4/2017,3.044
08/28/2017,2.706
08/21/2017,2.702
08/14/2017,2.731
08/7/2017,2.738
07/31/2017,2.693
07/24/2017,2.675
07/17/2017,2.655
07/10/2017,2.659
07/3/2017,2.66
06/26/2017,2.674
06/19/2017,2.693
06/12/2017,2.715
06/5/2017,2.719
05/29/2017,2.724
05/22/2017,2.705
05/15/2017,2.716
05/8/2017,2.711
05/1/2017,2.73
04/24/2017,2.734
04/17/2017,2.728
04/10/2017,2.696
04/3/2017,2.646
03/27/2017,2.643
03/20/2017,2.639
03/13/2017,2.658
03/6/2017,2.657
02/27/2017,2.67
